1,Cualquiera,NULL
2,"Gran Canaria",GranCanaria
3,Fuerteventura,Fuerteventura
4,Lanzarote,Lanzarote
5,Tenerife,Tenerife
6,"La Palma",LaPalma
7,"La Gomera",LaGomera
8,"El Hierro",ElHierro
9,"La Graciosa",LaGraciosa
