143,"Sala La Caldereta",2,22
144,Casino,3,31
145,"Salón Policía Morro Jable",3,34
146,"Antiguo Convento San Francisco",5,47
148,"Centro Cultural San Isidro",5,48
149,"Centro Cultural Alcalá",5,49
150,"Casa de la Cultura San Agustín",5,54
151,"Casa Municipal de Cultura",5,56
152,"Archivo General Insular",7,80
153,"Ámbito Cultural de El Corte Inglés",2,2
154,"Sala Benito Pérez Armas",4,29
155,"Ámbito Cultural de El Corte Inglés",5,3
156,"Escuela de Actores de Canarias ",5,3
157,"Real Sociedad Económica Amigos del País",5,3
158,"Sala de Arte del Parlamento de Canarias",5,3
159,"Casa de Carta Valle Guerra",5,36
160,"Escuela Canaria de Creación Literaria",5,36
161,"Centro Cultural de Adeje",5,37
162,"Centro Cultural de Los Cristianos",5,40
163,"Sala de Exposiciones del Antiguo Convento",5,48
164,"Círculo Viera y Clavijo",5,56
165,"Instituto de Estudios Hispánicos de Canarias IEHC",5,58
166,"Oficina de Turismo de Los Cancajos",6,70
167,"Cine Teatro Municipal",5,41
168,"Biblioteca Municipal",5,42
169,"Fundación Orotava de Historia de la CC",5,54
170,"Liceo Taoro",5,54
171,"Fundación La Caixa",5,36
172,"Fundación Mapfre Guanarteme",5,36
173,"Real Sociedad Económica Amigos del País",5,36
174,"Sala de Arte Bronzo",5,36
175,"Casona de San Luis",5,61
176,"Multicines Monopol",2,2
177,"Sala de Cámara",5,36
178,"Teatro Unión Tejina",5,36
179,"Biblioteca Municipal de Santa Cruz - TEA",5,3
180,"Cine-Teatro Municipal",5,61
181,"Gran Canaria Arena",2,2
182,"Real Sociedad Económica Amigos del País",2,2
183,"Sede Institucional ULPGC",2,2
184,"Nuevo Teatro Viejo",2,6
