128,"Cabildo de Gran Canaria / Ayuntamiento de Agaete",2
129,"Cabildo de La Gomera",2
130,"Cabildo de La Gomera; cedido al Ayuntamiento de Agulo",2
131,"Cabildo de La Palma",2
132,"Cabildo de Lanzarote",2
133,"Cabildo de Tenerife",2
134,"Cabildo de Tenerife / Ayuntamiento de El Sauzal",3
135,"Cabildo Insular de La Palma",2
136,"Cabildo, Gobierno y Ministerio",2
137,"Caja Canarias",1
138,"Caja general de ahorros de Canarias",2
139,CajaCanarias,1
140,"CajaCanarias Fundación",1
141,"Casa de Colón",2
142,"Casino Club Náutico de Arrecife",1
143,"Casino de Gáldar. Sociedad de Fomento, Instrucción y Recreo",1
144,"Colegio de Abogados",1
145,"Colegio Oficial de Aparejadores y Arquitectos Técnicos e Ingenieros de Edificación de Santa Cruz de Tenerife",1
146,"Compañía de Teatro Losótroh",1
147,"Compartido entre los Ayuntamientos de Vilaflor y Granadilla de Abona",2
148,"Consejería turismo Gobierno de Canarias",2
149,"Diario La Provincia",1
150,"Diócesis de Canarias",1
151,"El Corte Inglés",1
152,"El Museo Canario",1
153,"Esculturas Bronzo",1
154,Estado,2
155,"Estado / Gobierno de Canarias",2
156,"Fred Olsen",1
157,"Fundación Auditorio y Teatro de Las Palmas de Gran Canaria",2
158,"Fundación CajaCanarias",1
159,"Fundación Canaria Auditorio y Teatro de Las Palmas de Gran Canaria",2
160,"Fundación Canaria Luján Pérez",3
161,"Fundación Casa Patronos de los Virgen",3
162,"Fundación Centro de Documentación e Investigación de la Artesanía de España y América",3
163,"Fundación César Manrique",1
164,"Fundación Diputado Juan Morales Martín",1
165,"Fundación IEHCan",1
166,"Fundación José Saramago",1
167,"Fundación Juan Antonio de la Nuez y Olga Artiles",1
168,"Fundación La Caja de Canarias",1
169,"Fundación Mapfre Cultural",1
170,"Fundación Mapfre Guanarteme",1
171,"Fundación Martín Chirino",3
172,"Fundación Néstor Álamo",3
173,"Gobierno de Canarias",2
174,"Heredad Acequia Real de Aguatona",1
175,ICONA,1
176,IECAN,1
177,"IES Granadilla de Abona",2
178,"IES Mencey Acaymo",2
179,INE,2
180,"Instituto Museo Canario del Agua",1
181,"Instituto Nacional de Estadística",2
182,"J.A Monterrey Acosta",1
183,"Jonathan Camacho Pérez",1
184,"Juan Cabrera Martín, s.a.",1
185,"La Caixa",1
186,"Loro Parque",1
187,"Magma Canarias U.T.E.",1
188,"Manolo Vieira",1
189,"Manuel Delgado Camino",1
190,"Mare Nostrum Resort",1
191,"Ministerio de Agricultura",2
192,"Ministerio de Agricultura, Alimentación y Medioambiente",2
193,"Ministerio de Defensa",2
194,"Ministerio de Economía",2
195,"Ministerio de Empleo",2
196,"Ministerio de Empleo y SS",2
197,"Ministerio de Hacienda y Admones. Públicas",2
198,"Ministerio de Industria, Energía y Turismo",2
199,"Ministerio de Justicia",2
200,"Ministerio de Sanidad",2
201,"Ministerio del Interior",2
202,"Obispado de Tenerife",1
203,"Parlamento de Canarias",2
204,"Parroquia de La Concepción de La Orotava",1
205,"Parroquia de San Ginés",1
206,"Real Academia Canaria de Bellas Artes de San Miguel Arcángel",2
207,"Real Casino de Tenerife",1
208,"Restaurante Ekade",1
209,RSEAPGC,1
210,"Sociedad Aridane",1
211,"Sociedad Casino Club Náutico ",1
212,"Sociedad Casino de Valverde",1
213,"Sociedad Científica El Museo Canario",1
214,"Sociedad de Cultura, Recreo y Deportes Torrelavega",1
215,"Sociedad de recreo Atlántida",1
216,"Sociedad Democracia",1
217,"Sociedad El Fomento de Tao",2
218,"Sociedad El Porvenir",1
219,"Sociedad Estatal Correos y Telégrafos, S.A.",2
220,"Sociedad Estatal de Estiba y Desestiba de los Puertos de Santa Cruz de Tenerife S.A.",2
221,"Sociedad La Cosmológica",1
222,"Sociedad Orfeón La Paz",1
223,"Sociedad para el Estudio de los Cetáceos en el Archipiélago Canario (SECAC)",1
224,"Tribunal Superior de Justicia de Canarias",2
225,ULPGC,2
226,UNED,2
227,"Universidad de La Laguna",2
228,"Universidad de Las Palmas de Gran Canaria",2
229,"Arrecife Hoteles",1
230,"Fundación Canaria Orotava de Historia de la Ciencia",2
231,"Museo Atlántico",1
232,Particular,1
233,RSEAPT,1
