21267,S,1,2016-09-28,2016-10-02,4,7,6,73,70,"Diferentes escenarios del municipio","Festival de la Palabra. Garafía 2016",NULL,"Talleres, presentaciones de libros, rutas, conciertos, teatro, títeres, luchalibro, mesa redonda, encuentros literarios...",--,--,festivaldelapalabra16.png,http://bit.ly/2dm8q3N,U,ext-driecor,"2016-09-26 12:52:39"
21268,S,1,2016-10-06,2016-10-09,3,2,5,3,3,,"'Vaya para de gemelas'",NULL,"Protagonizada por Pochola Pérez-Andreu. Cuatro funciones a diferentes horarios",--,--,vayapar.jpg,http://www.teatroguimera.es/eventos/vaya-para-de-gemelas/,U,ext-driecor,"2016-09-26 12:52:34"
21269,S,1,2016-09-30,2016-09-30,0,2,5,36,10,,"'La profesora Rosalba Scholasticus'",NULL,"De Zalatta Teatro-Ditirambo Teatro",20,30,laprofesorarosalba.jpg,http://aguerecultural.com/,U,ext-driecor,"2016-09-22 14:11:39"
21270,S,1,2016-09-30,2016-09-30,0,1,5,36,10,,"Concierto de Baba Sall & Raka Ndao",NULL,"Fiesta Reggae Fin de Verano",22,00,babasall.jpg,http://aguerecultural.com/,U,ext-driecor,"2016-09-26 12:52:27"
21271,S,1,2016-10-01,2016-10-01,0,1,5,36,10,,"Concierto de José Luis Suárez Amaya",NULL,"Presenta 'Vives en mi'",20,30,joseluissuarez.jpg,http://aguerecultural.com/,U,ext-driecor,"2016-09-26 12:52:21"
21272,S,1,2016-09-30,2016-09-30,0,1,5,40,12,,"Concierto de Pablo Casal Group",NULL,"Mezcla el blues, el jazz, melodías rescatadas de la música tradicional y atmósferas minimalistas",20,30,pablocasal.png,http://bit.ly/2cTzary,U,ext-driecor,"2016-09-26 12:52:16"
21273,S,1,2016-10-01,2016-10-01,0,1,5,40,12,,"Concierto de la Orquesta Filarmónica Juvenil de Tenerife 'Miguel Jaubert'",NULL,"STAR WARS Que la fuerza de la música te acompañe",20,30,orquestamigueljaubert.png,http://bit.ly/2cw84WU,U,ext-nduqgom,"2016-09-28 11:22:39"
21274,S,1,2016-10-02,2016-10-02,0,1,5,40,12,,"Concierto benéfico 'Al Sur Del Corazón'",NULL,"Espectáculo Literario en la que participa Olga Cerpa. La recaudación estará destinada a la entidad NIños Con Cáncer Pequeño Valiente ",20,00,alsurdelcorazon.jpg,http://bit.ly/2cJrGWZ,U,ext-driecor,"2016-09-26 12:55:27"
21275,S,1,2016-09-28,2016-09-30,2,12,5,3,70," Presidencia del Gobierno, Parlamento y Fundación CajaCanarias","Conferencia Autonómica ",NULL,"Debate sobre la reforma constitucional y su repercusión para esta Comunidad  con expertos, agentes políticos, económicos y sociales. Libre previa inscripción",--,--,reforma.jpg,http://canariasenlaconstitucion.es/,U,ext-driecor,"2016-09-26 12:55:49"
21276,S,1,2016-10-05,2016-10-05,0,7,5,3,119,,"Presentación del libro 'Mapa del exilio', de Coriolano González",NULL,"Premio de Poesía Pedro García Cabrera. Programa: Otoño Cultural",20,30,coriolano.jpg,http://www.cajacanarias.com/microsites/otono-cultural/2016/tenerife/,U,ext-driecor,"2016-09-26 12:52:04"
21277,S,1,2016-10-03,2016-10-03,0,6,5,3,119,,"Ciclo: 'Perlas del Cine Francés'",NULL,"Película: 'Bande des filles -Girlhood-'",20,00,bande.jpg,http://bit.ly/2cLErQt,U,ext-driecor,"2016-09-26 12:55:43"
21278,S,1,2016-10-01,2016-10-01,0,1,5,44,8,,"Concierto de Ensamble dos Orillas",NULL,"Música de fusión. Un timple y una guitarra establecen la armonía principal, siendo complementados con la percusión, el bajo y las voces solistas",20,30,ensambledosorillas.jpg,http://www.tomaticket.es/entradas-ensamble-dos-orillas-tenerife,U,ext-driecor,"2016-09-26 12:55:38"
21279,S,1,2016-09-28,2016-09-28,0,12,5,3,70,"Sala MAC","""El día en que la ciudad sacudió el mar'",NULL,"Conferencia a cargo de Marc Cabarga ",19,00,salamac.jpg,https://www.facebook.com/tu.santacruz/?fref=ts,U,ext-driecor,"2016-09-23 11:13:29"
21280,S,1,2016-09-30,2016-10-09,9,6,5,61,175,,"I Festival Insularia-Islas en Red",NULL,"Evento en el cine es un pretexto para acercarse a las diferentes culturas insulares del planeta. Proyecciones, música, talleres, exposiciones, encuentros",--,--,insularia.jpg,http://insularia.org/,U,ext-driecor,"2016-09-28 13:07:25"
21281,S,1,2016-09-29,2016-09-29,0,1,5,3,70,"Terraza Ocean Club. Trasera edificio La Cascada","Concierto de la banda Onofreefadar",NULL,"Músicas del mundo. Presenta el disco 'OFF'",21,00,onofreefadar.jpg,https://www.facebook.com/events/205389789874322/,U,ext-driecor,"2016-09-26 12:22:10"
21282,S,1,2016-09-30,2016-09-30,0,7,5,36,70,"2º planta de la Biblioteca General y de Humanidades (Campus de Guajara","Club de Lectura de la Universidad de La Laguna",NULL,"Libro: '84, Charing Cross Road', de Helene Hanff",18,00,feriadellibro.jpg,http://clubdelecturaull.blogspot.com.es/,U,ext-driecor,"2016-09-26 12:55:22"
21283,S,1,2016-09-29,2016-09-29,0,1,5,36,70,"Ermita de San Miguel","Concierto la Orquesta de Cuerda Pulsada del Orfeón La Paz",NULL,"Interpretará obras de diferentes estilos y compositores clásicos, como La Bikina, El Lago de los Cisnes o Caballería Rusticana Director: José Manuel Gil ",21,00,cuerdasorfeon.png,https://www.facebook.com/orfeonlapaz/,U,ext-driecor,"2016-09-26 12:54:05"
21284,S,1,2016-10-07,2016-10-16,9,3,5,63,70,"Diferentes espacios del municipio","DanzaTac-Festival de Danza de Tacoronte",NULL,"VI Foro regional de danza, el Certamen Internacional VideoDanzaTac, espectáculos en vivo, campeonato de Breaking, talleres y mucho más",--,--,danzatac16.jpg,https://www.facebook.com/DanzaTac.FestivalDanzaTacoronte,U,ext-nduqgom,"2016-09-30 14:19:47"
21285,S,1,2016-09-27,2016-09-27,0,7,5,3,70,"Librería de Mujeres de Canarias","Círculo de Lectura de la Librería de Mujeres",NULL,"Obra: 'Solterona.La construcción de una vida propia'",18,30,feriadellibro.jpg,http://circulodelecturalibreriademujeres.blogspot.com.es/,U,ext-driecor,"2016-09-27 10:14:29"
21286,S,1,2016-10-01,2016-10-01,0,2,5,36,70,"Valle Guerra","Monólogos de humor con Kike Pérez",NULL,"Circuito Canario 'Islas de Música, Teatro y Danza'-Gobierno de Canarias",21,00,kikeperez.jpg,https://www.facebook.com/kike.perez.982/?fref=ts,U,ext-driecor,"2016-09-27 10:26:13"
21287,S,1,2016-09-30,2016-10-01,1,7,5,3,17,,"INDICE-Festival de Lectura y Escritura",NULL,"Jornadas, talleres, proyecciones, pitching, danza, sesiones de cuentos, conciertos, teatro, exhibiciones, ",--,--,indice.png,http://www.festivalindice.es/,U,ext-driecor,"2016-09-27 13:40:25"
21288,S,1,2016-09-30,2016-09-30,0,2,5,54,70,"Casa Lercaro","Sesión de Gastro-Comedia",NULL,"Actuaciones de humor con  Juanfree atista y Carlos Castillo. Sesión de improvisación. Entrada libre",21,00,gastrocomedia2.png,https://www.facebook.com/gastrolercaro/?fref=ts,U,ext-driecor,"2016-09-27 13:39:09"
21289,S,1,2016-09-30,2016-09-30,0,15,5,36,20,,"Noches de Museo",NULL,"Recorrido guiado por las salas del Museo de Historia después del cierre y posterior paseo cultural nocturno por el casco histórico de La Laguna.",21,00,nochesdemuseo.jpg,http://museosdetenerife.org/mha-casa-lercaro/evento/4412,U,ext-driecor,"2016-09-27 12:31:12"
21290,S,1,2016-09-30,2016-10-01,1,9,5,36,19,,"Acampadas Astronómicas",NULL,"Una noche en el Museo de la Ciencia y el Cosmos. Edad: de 6 a 12 años",18,00,acampadasastronomicas.jpg,http://bit.ly/2doATXQ,U,ext-driecor,"2016-09-27 12:33:59"
21291,S,1,2016-09-30,2016-09-30,0,15,5,58,70,"Diferentes espacios del municipio","La noche europea de los los volcanes",NULL,"Conferencias, teatro, proyecciones, conciertos, charlas, etc en torno a los volcanes",--,--,losvolcanes.jpg,http://volcanoesnight.com/programa/puerto-de-la-cruz-tenerife/,U,ext-driecor,"2016-09-27 13:40:11"
21292,S,1,2016-09-30,2016-09-30,0,15,6,72,70,"Diferentes espacios del municipio","La noche europea de los los volcanes",NULL,"Conferencias, teatro, proyecciones, conciertos, charlas, etc en torno a los volcanes",--,--,losvolcanes.jpg,http://volcanoesnight.com/programa/fuencaliente-la-palma/,U,ext-driecor,"2016-09-27 13:40:03"
21293,S,1,2016-09-30,2016-09-30,0,15,2,9,70,"Diferentes espacios del municipio","La noche europea de los los volcanes",NULL,"Conferencias, teatro, proyecciones, conciertos, charlas, etc en torno a los volcanes",--,--,losvolcanes.jpg,http://volcanoesnight.com/programa/ingenio-gran-canaria/,U,ext-driecor,"2016-09-27 13:39:43"
21294,S,1,2016-09-30,2016-10-01,1,2,2,2,27,,"'Panorama desde el puente', de Arthur Miller",NULL,"Dirección: Georges Lavaudant. Con Eduard Fernández, Francesc Albiol, Mercè Pons, Marina Salas, Bernat Quintana, Pep Ambrós, Rafa Cruz, Sergi Vallès",20,30,panorama.jpg,http://bit.ly/2d3cyYe,U,ext-driecor,"2016-09-27 13:39:31"
